sentence1,sentence2,label
निक्के कारोबार आस्तै NBFC-MFI दे जरिए माइक्रोफाइनेंस लोड़दा ऐ।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
चारि लाख रुपैयाक परियोजना लेल सहकारी बैंकक माध्यम सँ ऋण चाही।,"Loans for projects/units costing up to ₹5 lakh through Cooperative Societies, Cooperative Banks and Small Finance Banks; loan up to 90% of project cost, up to ₹4.50 lakh.",1
I need an education loan for B.Tech.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
सानो व्यवसायका लागि NBFC-MFI मार्फत माइक्रोफाइनान्स चाहिन्छ।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
சிறு தொழிலுக்கு NBFC-MFI மூலம் மைக்ரோஃபைனான்ஸ் வேண்டும்.,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
مون کي ويهه لک رپين جي منصوبي لاءِ ٽرم لون گهرجي.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ꯅꯤꯡꯊꯤꯖꯤꯟ ꯕꯤꯖꯅꯦꯁꯀꯤꯗꯃꯛ NBFC-MFI ꯗꯨꯔꯣꯏꯅ ꯃꯥꯏꯀ꯭ꯔꯣꯐꯥꯏꯅꯥꯟꯁ ꯅꯥꯡꯒꯦ।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
எனக்கு தையல் தொழில் தொடங்க சிறிய கடன் வேண்டும்.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
مےٚ ٹیلرنگ کاروبار شروع کرنہٕ خٲطرٕ تھوڑا قرضہٕ گژھان۔,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ᱵᱤᱥ ᱞᱟᱠᱷ ᱴᱟᱠᱟ ᱯᱨᱚᱡᱮᱠᱴ ᱞᱟᱹᱜᱤᱫ ᱴᱟᱨᱢ ᱞᱳᱱ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
निक्के कारोबार आस्तै NBFC-MFI दे जरिए माइक्रोफाइनेंस लोड़दा ऐ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech পড়ার জন্য শিক্ষা ঋণ দরকার।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
مون کي ٽيلرنگ ڪاروبار شروع ڪرڻ لاءِ ننڍو قرض گهرجي.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
చిన్న వ్యాపారం కోసం NBFC-MFI ద్వారా మైక్రోఫైనాన్స్ కావాలి.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ᱤᱧ ᱴᱮᱞᱟᱨᱤᱝ ᱵᱤᱡᱱᱮᱥ ᱮᱦᱚᱵ ᱞᱟᱹᱜᱤᱫ ᱪᱷᱚᱴ ᱞᱳᱱ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",1
ᱪᱷᱚᱴ ᱵᱤᱡᱱᱮᱥ ᱞᱟᱹᱜᱤᱫ NBFC-MFI ᱛᱮ ᱢᱟᱭᱠᱨᱚᱯᱷᱟᱭᱱᱟᱱᱥ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ಇಪ್ಪತ್ತು ಲಕ್ಷ ರೂಪಾಯಿ ಯೋಜನೆಗೆ ಟರ್ಮ್ ಲೋನ್ ಬೇಕು.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
مون کي B.Tech پڙهائي لاءِ تعليمي قرض گهرجي.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
वीस लाख रुपयांच्या प्रकल्पासाठी टर्म लोन हवे आहे.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
छोट व्यवसाय लेल NBFC-MFI के माध्यम सँ माइक्रोफाइनेंस चाही।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
सानो व्यवसायका लागि NBFC-MFI मार्फत माइक्रोफाइनान्स चाहिन्छ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
I need a term loan for a project costing ₹20 lakh.,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
مجھے بیس لاکھ روپے کے منصوبے کے لیے ٹرم لون چاہیے۔,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
ᱤᱧ ᱴᱮᱞᱟᱨᱤᱝ ᱵᱤᱡᱱᱮᱥ ᱮᱦᱚᱵ ᱞᱟᱹᱜᱤᱫ ᱪᱷᱚᱴ ᱞᱳᱱ ᱥᱟᱹᱦᱟᱭᱟᱹ।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
बीस लाख रुपैयाक परियोजना लेल टर्म लोन चाही।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
مجھے سلائی کا کاروبار شروع کرنے کے لیے چھوٹا قرض چاہیے۔,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
B.Tech ಓದಲು ಶಿಕ್ಷಣ ಸಾಲ ಬೇಕು.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
B.Tech शिकपाक शैक्षणिक कर्जें जाय.,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
छोट व्यवसाय लेल NBFC-MFI के माध्यम सँ माइक्रोफाइनेंस चाही।,Micro finance for eligible Scheduled Caste persons through selected NBFC-MFIs for small/micro business activities; loan up to 90% (up to ₹1.25 lakh) for projects costing up to ₹1.40 lakh.,1
मुझे सिलाई का व्यवसाय शुरू करने के लिए छोटा ऋण चाहिए।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
আমার টেইলারিং ব্যবসা শুরু করার জন্য ছোট ঋণ দরকার।,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",0
مےٚ B.Tech پٲٹھۍ تعلیمی قرضہٕ گژھان۔,"Micro Credit Finance for small units with project cost up to ₹1.40 lakh; delivered through State Channelizing Agencies/Channelizing Agencies; loan up to 90% of project cost, maximum ₹1.25 lakh per unit.",0
B.Tech ಓದಲು ಶಿಕ್ಷಣ ಸಾಲ ಬೇಕು.,"Educational loans for eligible students pursuing regular full-time professional/technical courses in India or abroad; up to ₹40 lakh or 90% of course fee, whichever is less.",1
বিশ লাখ টকাৰ প্ৰকল্পৰ বাবে মোক টাৰ্ম লোন লাগে।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
बीस लाख रुपैयाँको परियोजनाका लागि टर्म लोन चाहिन्छ।,"Term loans for income-generating units costing more than ₹1.40 lakh and up to ₹50 lakh; loan up to 90% of project cost, above ₹1.25 lakh and up to ₹45 lakh per unit.",1
